,Organization,Address,City,State,Zip,Phone,Service Area,Full Address,Lat_Long,Lat,Long
0,Township Supervisor South Cook – Worth,11601 S Pulaski Rd,Alsip,IL,60803,(708) 371-2900,Suburban Cook South,"11601 S Pulaski Rd, Alsip, IL 60803","(41.6818605, -87.7193702)",41.6818605,-87.7193702
1,Feeding America,35 E Wacker Dr,Chicago,IL,60601,(312) 263-2303,Chicago Loop,"35 E Wacker Dr, Chicago, IL 60601","(41.8866893, -87.62683109999999)",41.8866893,-87.62683109999999
2,CEDA Administrative Office,567 W. Lake St STE 1200,Chicago,IL,60661,(312) 782-2332,Chicago Loop,"567 W. Lake St STE 1200, Chicago, IL 60661","(41.885477, -87.6424308)",41.885477,-87.6424308
3,Heartland Alliance for Human Needs and Human Rights,208 S La Salle St,Chicago,IL,60604,(312) 660-1300,Chicago Loop,"208 S La Salle St, Chicago, IL 60604","(41.8789847, -87.6324459)",41.8789847,-87.6324459
4,Illinois Hunger Coalition,205 W Monroe St,Chicago,IL,60606,(312) 629-9580,Chicago Loop,"205 W Monroe St, Chicago, IL 60606","(41.8803969, -87.63413899999999)",41.8803969,-87.63413899999999
5,Little Brothers Friends of the Elderly,355 N Ashland Ave,Chicago,IL,60607,(312) 455-1000,Chicago West,"355 N Ashland Ave, Chicago, IL 60607","(41.8880965, -87.6664701)",41.8880965,-87.6664701
6,Salvation Army – Corps Community Center Temple,1 N Ogden Ave,Chicago,IL,60607,(312) 492-6803,Chicago West,"1 N Ogden Ave, Chicago, IL 60607","(41.8816974, -87.665249)",41.8816974,-87.665249
7,Benton House,3052 S Gratten Ave,Chicago,IL,60608,(773) 927-6420,Chicago South,"3052 S Gratten Ave, Chicago, IL 60608","(41.8388627, -87.654124)",41.8388627,-87.654124
8,Firman Community Services – Food Pantry,37 West 47th Street,Chicago,IL,60609,(773) 373-3400,Chicago South,"37 West 47th Street, Chicago, IL 60609","(41.8089812, -87.6275873)",41.8089812,-87.6275873
9,Catholic Charities Chicago,721 N La Salle St,Chicago,IL,60610,(312) 655-7000,Chicago West,"721 N La Salle St, Chicago, IL 60610","(41.8952047, -87.6323269)",41.8952047,-87.6323269
