,id,name,is_closed,url,review_count,categories,rating,price,location,Lat,Long,price_level,zip_code,city,state,new_labels,food_label,regional_label
0,Qll3PzxLObCyTA1qhp_qCQ,Lady Di's Bakery,False,https://www.yelp.com/biz/lady-dis-bakery-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,6,['Bakeries'],5.0,$,"{'address1': '4356 W Ford City Dr', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60652', 'country': 'US', 'state': 'IL', 'display_address': ['4356 W Ford City Dr', 'Chicago, IL 60652']}",41.7533064,-87.728552,9.5,60652,chicago,IL,['Bakeries'],other,other
1,Kj9PjQ4IvdJTsUPTCbNf4w,Betty's Ice Cream,False,https://www.yelp.com/biz/bettys-ice-cream-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,10,['Ice Cream & Frozen Yogurt'],5.0,$,"{'address1': '5858 S Kedzie Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60629', 'country': 'US', 'state': 'IL', 'display_address': ['5858 S Kedzie Ave', 'Chicago, IL 60629']}",41.7867317,-87.7035294,9.5,60629,chicago,IL,['Dessert'],Dessert,other
2,LHCSMSPukERlWt-c3qGYEA,Sputnik Coffee Company,False,https://www.yelp.com/biz/sputnik-coffee-company-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,47,['Coffee Roasteries'],5.0,$,"{'address1': '2057 W 51st St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60609', 'country': 'US', 'state': 'IL', 'display_address': ['2057 W 51st St', 'Chicago, IL 60609']}",41.8011463820658,-87.6768759263544,9.5,60609,chicago,IL,['Coffee_Tea'],Coffee_Tea,other
3,byyWLMOHxfEiENT36Z3M8w,Cafe El Meson,False,https://www.yelp.com/biz/cafe-el-meson-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,117,"['Sandwiches', 'Coffee & Tea', 'Juice Bars & Smoothies']",5.0,$,"{'address1': '4631 S Kedzie Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60632', 'country': 'US', 'state': 'IL', 'display_address': ['4631 S Kedzie Ave', 'Chicago, IL 60632']}",41.808998,-87.703643,9.5,60632,chicago,IL,"['Fast_Food', 'Beverage', 'Coffee_Tea']",Fast_Food,other
4,Tui2wscNxhq8RwwWkLM0EA,Tacos Villa,False,https://www.yelp.com/biz/tacos-villa-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,32,['Mexican'],4.5,$,"{'address1': '3139 W 63rd St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60629', 'country': 'US', 'state': 'IL', 'display_address': ['3139 W 63rd St', 'Chicago, IL 60629']}",41.778882,-87.702235,9.5,60629,chicago,IL,['Mexican'],Mexican,Mexican
5,utdsRteXMJsjZbxMc_f9BA,Tom Tom Tamale & Bakery Company,False,https://www.yelp.com/biz/tom-tom-tamale-and-bakery-company-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,31,['Bakeries'],4.5,$,"{'address1': '4750 S Washtenaw Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60632', 'country': 'US', 'state': 'IL', 'display_address': ['4750 S Washtenaw Ave', 'Chicago, IL 60632']}",41.80672,-87.69199,9.5,60632,chicago,IL,['Bakeries'],Bakeries,other
6,PNhfTx32lbnQNyKq1-ai-Q,R U Hungry,False,https://www.yelp.com/biz/r-u-hungry-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,8,"['Burgers', 'Fast Food', 'Sandwiches']",4.5,$,"{'address1': '1724 W 51st St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60609', 'country': 'US', 'state': 'IL', 'display_address': ['1724 W 51st St', 'Chicago, IL 60609']}",41.8013724055997,-87.6682544499636,9.5,60609,chicago,IL,['Fast_Food'],Fast_Food,other
7,Iad9WnMd4ip5hVaPX58dkw,Tacos Don Cuco,False,https://www.yelp.com/biz/tacos-don-cuco-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,26,['Mexican'],4.5,$,"{'address1': '1847 W 47th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60609', 'country': 'US', 'state': 'IL', 'display_address': ['1847 W 47th St', 'Chicago, IL 60609']}",41.8083897,-87.6716714,9.5,60609,chicago,IL,['Mexican'],Mexican,Mexican
8,m1ie0rIO_IXK3VYZDfCMLg,Mr C's,False,https://www.yelp.com/biz/mr-cs-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,47,"['Sports Bars', 'Dive Bars']",4.5,$,"{'address1': '4654 W 63rd St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60629', 'country': 'US', 'state': 'IL', 'display_address': ['4654 W 63rd St', 'Chicago, IL 60629']}",41.77866291394651,-87.73956321142352,9.5,60629,chicago,IL,['Alcohol'],other,other
9,gCvQOlzDfyW0ZR4EOBQVjw,Fat Johnnie's Famous Red Hots,False,https://www.yelp.com/biz/fat-johnnies-famous-red-hots-chicago?adjust_creative=TmmU6z-vh6w24XZVachDdA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TmmU6z-vh6w24XZVachDdA,119,['Hot Dogs'],4.5,$,"{'address1': '7242 S Western Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60686', 'country': 'US', 'state': 'IL', 'display_address': ['7242 S Western Ave', 'Chicago, IL 60686']}",41.7615969,-87.6833321,9.5,60686,chicago,IL,['Fast_Food'],other,other
