,categories,is_food
0,Bakeries,1
1,Ice Cream & Frozen Yogurt,1
2,Coffee Roasteries,1
3,Sandwiches,1
4,Coffee & Tea,1
5,Juice Bars & Smoothies,1
6,Mexican,1
7,Burgers,1
8,Fast Food,1
9,Sports Bars,a
10,Dive Bars,a
11,Hot Dogs,1
12,Tacos,1
13,Delis,1
14,Polish,1
15,Pubs,1
16,Food Trucks,1
17,Cafes,1
18,Airport Lounges,
19,Italian,1
20,Chinese,1
21,Grocery,1
22,Caterers,1
23,American (Traditional),1
24,Creperies,1
25,Breakfast & Brunch,1
26,Seafood,1
27,Caribbean,1
28,Latin American,1
29,Venues & Event Spaces,
30,Cocktail Bars,a
31,Puerto Rican,1
32,Salad,1
33,Thai,1
34,Jazz & Blues,
35,Lounges,
36,Music Venues,
37,Pizza,1
38,Desserts,1
39,Soup,1
40,Barbeque,1
41,Bars,a
42,Gastropubs,1
43,Hotels,
44,Custom Cakes,1
45,Restaurants,1
46,American (New),1
47,Korean,1
48,Sushi Bars,1
49,Japanese,1
50,Indian,1
51,Modern European,1
52,French,1
53,Wine Bars,a
54,Speakeasies,a
55,Hot Pot,1
56,Asian Fusion,1
57,Steakhouses,1
58,Mediterranean,1
59,Middle Eastern,1
60,Vegetarian,1
61,Cooking Schools,
62,Argentine,1
63,Scandinavian,1
64,Boat Tours,
65,Donuts,1
66,Imported Food,1
67,Beer Gardens,a
68,International Grocery,1
69,Colombian,1
70,Meat Shops,1
71,Patisserie/Cake Shop,1
72,Diners,1
73,Greek,1
74,Tex-Mex,1
75,"Beer, Wine & Spirits",a
76,Irish Pub,a
77,Halal,1
78,Cuban,1
79,Performing Arts,
80,Ramen,1
81,Pasta Shops,1
82,Beer Bar,a
83,Pool Halls,
84,Filipino,1
85,Poke,1
86,Bubble Tea,1
87,Waffles,1
88,Vegan,1
89,Chicken Wings,1
90,German,1
91,Tapas/Small Plates,1
92,Pan Asian,1
93,Food Stands,1
94,Brasseries,1
95,Empanadas,1
96,Parks,
97,Nurseries & Gardening,
98,Community Centers,
99,Soul Food,1
100,Salvadoran,1
101,Food Delivery Services,1
102,Museums,
103,Tours,
104,Gift Shops,
105,Cupcakes,1
106,Dominican,
107,Candy Stores,c
108,Chocolatiers & Shops,c
109,Breweries,a
110,Brazilian,1
111,Venezuelan,1
112,Cigar Bars,
113,Honduran,1
114,Community Service/Non-Profit,
115,Vietnamese,1
116,Comfort Food,1
117,Spanish,1
118,Noodles,1
119,Wine Tasting Room,a
120,Dance Clubs,
121,Kosher,
122,Portuguese,1
123,Street Vendors,
124,Karaoke,
125,Specialty Food,1
126,Fish & Chips,1
127,Chicken Shop,1
128,Comedy Clubs,
129,Shaved Ice,c
130,Gay Bars,a
131,Art Galleries,
132,Persian/Iranian,1
133,Bed & Breakfast,
134,Mini Golf,
135,Cheesesteaks,1
136,Distilleries,
137,New Mexican Cuisine,1
138,Pop-Up Restaurants,1
139,Bikes,
140,Sports Wear,
141,Himalayan/Nepalese,1
142,Tapas Bars,1
143,Peruvian,1
144,Izakaya,1
145,Kids Activities,
146,Fitness & Instruction,
147,Spiritual Shop,
148,Herbal Shops,
149,Tea Rooms,1
150,Hawaiian,1
151,Whiskey Bars,a
152,Bagels,1
153,Gelato,1
154,Cajun/Creole,1
155,Buffets,1
156,Social Clubs,
157,Cabaret,
158,Southern,1
159,Beverage Store,1
160,Seafood Markets,1
161,Bookstores,
162,Used Bookstore,
163,Wraps,1
164,Festivals,
165,Internet Cafes,
166,Gluten-Free,1
167,African,1
168,Arcades,
169,Convenience Stores,1
170,Gas Stations,
171,Turkish,1
172,Live/Raw Food,1
173,Ethiopian,1
174,Party & Event Planning,
175,Fondue,1
176,Pakistani,1
177,Pop-up Shops,
178,Food Court,1
179,Taiwanese,1
180,Szechuan,1
181,Landmarks & Historical Buildings,
182,Macarons,c
