,NAME,per_bachelor,med_hd_inc,mean_hd_inc,num_household,household_fd,per_fdstamp,NAME,top_race
0,60004,0.5883417519786067,"108,890","134,186",20494,783,0.03820630428418074,60004,"[('White', 0.7829741708696316), ('Asian Indian', 0.043882775485251414), ('Some other race', 0.04111263946202048), ('Black or African American', 0.028503744459727955), ('Korean', 0.016391563502980284)]"
1,60005,0.5531375351560699,"94,670","118,146",12405,938,0.07561467150342603,60005,"[('White', 0.7353318479508474), ('Some other race', 0.0588751603537911), ('Asian Indian', 0.037303355614070624), ('Black or African American', 0.027783404226588346), ('Japanese', 0.017149415974613464)]"
2,60007,0.39799345143144993,"89,408","108,430",12745,594,0.046606512357787365,60007,"[('White', 0.7789578794480755), ('Asian Indian', 0.04520697167755991), ('Filipino', 0.030107722101186153), ('Black or African American', 0.02348099733720649), ('Chinese', 0.019668361171629147)]"
3,60008,0.3504362149960344,"79,857","101,617",8731,536,0.061390447829572786,60008,"[('White', 0.6816006209305334), ('Some other race', 0.11564831184511233), ('Black or African American', 0.03497046267948773), ('Asian Indian', 0.024923461687723684), ('Filipino', 0.018929757233409512)]"
4,60010,0.6928890945549899,"153,125","202,719",16999,428,0.025177951644214366,60010,"[('White', 0.810693825588797), ('Asian Indian', 0.05790367069806917), ('Korean', 0.02550392531296414), ('Chinese', 0.02435815828559304), ('Other Asian', 0.012009335879482283)]"
5,60015,0.7909988323957117,"161,700","219,717",10246,154,0.015030255709545188,60015,"[('White', 0.8883307433775433), ('Asian Indian', 0.03595822341079108), ('Korean', 0.013154566152289401), ('Chinese', 0.011672870514256804), ('Black or African American', 0.009504535434209099)]"
6,60016,0.42426166341922633,"73,428","97,352",24144,2730,0.11307157057654076,60016,"[('White', 0.6124074670099775), ('Asian Indian', 0.1176054071451561), ('Some other race', 0.04987125844866431), ('Filipino', 0.04813324750563244), ('Black or African American', 0.045992919214676534)]"
7,60018,0.25540038179443386,"69,834","86,916",9685,1065,0.109963861641714,60018,"[('White', 0.6649291862418985), ('Asian Indian', 0.07256266931861047), ('Some other race', 0.06395528274064675), ('Filipino', 0.02335310860395734), ('Black or African American', 0.012859641301738623)]"
8,60022,0.8603896103896104,"210,000","343,629",3106,58,0.018673535093367676,60022,"[('White', 0.9469306466729147), ('Black or African American', 0.01499531396438613), ('Asian Indian', 0.011715089034676664), ('Filipino', 0.005506091846298032), ('Korean', 0.0030459231490159327)]"
9,60025,0.6473791004396348,"106,519","161,153",16088,825,0.05128045748383889,60025,"[('White', 0.7512560432268461), ('Korean', 0.06126173096976017), ('Other Asian', 0.04083325433690397), ('Asian Indian', 0.03526400606692578), ('Filipino', 0.020831358422599297)]"
