NAME,top_race
60004,"[('White', 0.7829741708696316), ('Asian Indian', 0.043882775485251414), ('Some other race', 0.04111263946202048), ('Black or African American', 0.028503744459727955)]"
60005,"[('White', 0.7353318479508474), ('Some other race', 0.0588751603537911), ('Asian Indian', 0.037303355614070624), ('Black or African American', 0.027783404226588346)]"
60007,"[('White', 0.7789578794480755), ('Asian Indian', 0.04520697167755991), ('Filipino', 0.030107722101186153), ('Black or African American', 0.02348099733720649)]"
60008,"[('White', 0.6816006209305334), ('Some other race', 0.11564831184511233), ('Black or African American', 0.03497046267948773), ('Asian Indian', 0.024923461687723684)]"
60010,"[('White', 0.810693825588797), ('Asian Indian', 0.05790367069806917), ('Korean', 0.02550392531296414), ('Chinese', 0.02435815828559304)]"
60015,"[('White', 0.8883307433775433), ('Asian Indian', 0.03595822341079108), ('Korean', 0.013154566152289401), ('Chinese', 0.011672870514256804)]"
60016,"[('White', 0.6124074670099775), ('Asian Indian', 0.1176054071451561), ('Some other race', 0.04987125844866431), ('Filipino', 0.04813324750563244)]"
60018,"[('White', 0.6649291862418985), ('Asian Indian', 0.07256266931861047), ('Some other race', 0.06395528274064675), ('Filipino', 0.02335310860395734)]"
60022,"[('White', 0.9469306466729147), ('Black or African American', 0.01499531396438613), ('Asian Indian', 0.011715089034676664), ('Filipino', 0.005506091846298032)]"
60025,"[('White', 0.7512560432268461), ('Korean', 0.06126173096976017), ('Other Asian', 0.04083325433690397), ('Asian Indian', 0.03526400606692578)]"
60026,"[('White', 0.7011825989018724), ('Asian Indian', 0.07616500070392791), ('Korean', 0.06602843868787836), ('Chinese', 0.032943826552161055)]"
60029,"[('White', 0.8301526717557252), ('Black or African American', 0.04389312977099236), ('Filipino', 0.04198473282442748), ('Korean', 0.030534351145038167)]"
60043,"[('White', 0.8922822946760215), ('Some other race', 0.012381345439537762), ('Chinese', 0.011555922410235245), ('Other Asian', 0.00990507635163021)]"
60053,"[('White', 0.5843864981602943), ('Asian Indian', 0.13093904975203968), ('Other Asian', 0.07418812989921612), ('Filipino', 0.06698928171492562)]"
60056,"[('White', 0.6971640427326399), ('Some other race', 0.06810514478493113), ('Asian Indian', 0.0652410739387124), ('Black or African American', 0.031698060163058754)]"
60062,"[('White', 0.7839217557251908), ('Korean', 0.06641221374045801), ('Asian Indian', 0.033754770992366415), ('Chinese', 0.0254293893129771)]"
60067,"[('White', 0.7229144234220376), ('Asian Indian', 0.08152591908937086), ('Some other race', 0.04030149207814183), ('Black or African American', 0.026636927652156077)]"
60068,"[('White', 0.8756419012926564), ('Filipino', 0.025878424527585944), ('Asian Indian', 0.013786648453112747), ('Some other race', 0.013634868837115175)]"
60070,"[('White', 0.6425196850393701), ('Some other race', 0.20963779527559054), ('Asian Indian', 0.06204724409448819), ('Filipino', 0.01568503937007874)]"
60074,"[('White', 0.6039304209268358), ('Some other race', 0.2084716505112203), ('Black or African American', 0.05279511353073961), ('Asian Indian', 0.03771079537909972)]"
60076,"[('White', 0.5676298157453936), ('Black or African American', 0.08931562574778655), ('Filipino', 0.0777997128499641), ('Asian Indian', 0.06529672170375687)]"
60077,"[('White', 0.5096791846227512), ('Filipino', 0.09155893015938163), ('Asian Indian', 0.08789930911827075), ('Black or African American', 0.08170873520760653)]"
60089,"[('White', 0.673202614379085), ('Asian Indian', 0.13558021073197962), ('Korean', 0.040681041099713905), ('Chinese', 0.03756425464610518)]"
60090,"[('White', 0.5715273863811037), ('Some other race', 0.16536865296920633), ('Asian Indian', 0.09399497873648614), ('Korean', 0.040989906235589485)]"
60091,"[('White', 0.8281801801801801), ('Chinese', 0.05394594594594595), ('Korean', 0.025621621621621623), ('Asian Indian', 0.02252252252252252)]"
60093,"[('White', 0.9007802149271309), ('Some other race', 0.02502576181363168), ('Chinese', 0.012316600422003042), ('Asian Indian', 0.0066735364836351145)]"
60103,"[('White', 0.6938418639822298), ('Asian Indian', 0.079068008885108), ('Some other race', 0.04541802542653244), ('Filipino', 0.03646202561557729)]"
60104,"[('Black or African American', 0.7117380889007187), ('Some other race', 0.1295182326324195), ('White', 0.09784402448762311), ('Asian Indian', 0.005163694437050838)]"
60107,"[('White', 0.5538139757578812), ('Some other race', 0.11080311468386966), ('Asian Indian', 0.06030290048635436), ('Black or African American', 0.05556535544187687)]"
